,▼背景,企業とのマッチング度を定量的に自己採点できないだろうか？,,,,,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：,0,tech MASTER,TRUE,,,,,,,,,,,,,ー,,なんか対応が失礼すぎる。今後3度目は応募自体しない。,,,,,
,indeed,◯,１：,0,アプリズム,TRUE,,,,,,,,,,,,,2.99,59.8%,フィジカルAIであり、ズレているかもしれない,,,,,
,indeed,◯,１：,0,Ｒｅａｌ　Ｒｅａｃｈ,TRUE,,,,,,,,,,,,,,,,,,,,
,直HP,◯,１：,0,トランス・コスモス,TRUE,,,,,,,,,,,,,2.92,58.4%,返信が全くなし。腹立つ,,,,,
,indeed,◯,３：,0,CTN,TRUE,,,,,,,,,,,,,ー,,第一印象と会社の雰囲気でのマッチングに合わないと会社側判断と思う。中古車売買のサイト関係の会社。,,,,,
,indeed,◯,１：,0,ASIT,TRUE,,,,,,,,,,,,,ー,,フリーランス兼会社員の会社。連絡が出来ない人事。二度と登録もしない。,,,,,
,type,◯,１：,0,クラウドワークスコンサルティング,TRUE,,,,,,,,,,,,,,,22355-97503-71164-1600,,,,,
,直HP,◯,１：,0,SHIFT,FALSE,,,,,,,,,,,,,,,AI駆動エンジニアで応募,,,,,
,indeed,◯→✕,１：,0,アクターリアリティー,TRUE,,,,,,,,,,,,,2.94,58.8%,,,,,,
,indeed,◯,１：,0,Peaceful Mornig,FALSE,,,,,,,,,,,,,,,フリーランス案件,,,,,
,Green,◯,１：,0,Helpfeel,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：,0,プロフィールド,TRUE,,,,,,,,,,,,,,,,,,,,
,type,◯,１：,0,AIメタバース,TRUE,,,,,,,,,,,,,ー,,3/13(金)夕方までの回答がない場合は採用見送り,,,,,
,type,◯,１：,0,ハレソフト,TRUE,,,,,,,,,,,,,ー,,嫌い,,,,,
,type,◯,１：,0,バルテス,TRUE,,,,,,,,,,,,,2.88,57.6%,,,,,,
,type,◯,１：,0,AIクラウド,TRUE,,,,,,,,,,,,,ー,,3/16(月)夕方までの回答がない場合は採用見送り,,,,,
,type,◯,１：,0,ニューテック,TRUE,,,,,,,,,,,,,ー,,,,,,,
,type,◯,１：,0,オックスフォードパートナーズ,TRUE,,,,,,,,,,,,,ー,,嫌い,,,,,
,type,◯,１：,0,クリエーション・ビュー,FALSE,,,,,,,,,,,,,3.03,60.6%,,,,,,
,type,◯,１：,0,ギグー,TRUE,,,,,,,,,,,,,3.15,63.0%,案件なし,,,,,
,,,,0,クリーク・アンド・リバー,FALSE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：,0,テクノスフィア,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：,0,日総工産,TRUE,,,,,,,,,,,,,,,,,,,,
,indeed,◯,１：,0,アイズ,TRUE,,,,,,,,,,,,,,,,,,,,
,type,◯,１：,0,任天堂,FALSE,,,,,,,,,,,,,,,,,,,,
,type,◯,１：,0,グリームオーブ,FALSE,,,,,,,,,,,,,,,,,,,,
,type,◯→✕,１：,0,インター・ラボ,TRUE,,,,,,,,,,,,,,,,,,,,
,recuruitAgent,◯,３：,0,ノースサンド,TRUE,,,,,,,,,,,,,,,シニアコンサルタントで応募,,,,,
,recuruitAgent,◯,３：,0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,FALSE,,,,,,,,,,,,,,,AIエンジニアで選考。AI自体のモデル研究と思われる。,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
,,,,0,,FALSE,,,,,,,,,,,,,,,,,,,,
